pedido;dataVencimento;cliente;email;telefone;produto;cpf;cnpj;razaoSocial
409445;11/05/24;Pedro Barreto de Ortiz;mailreceiverjafs@gmail.com;(82) 92682-8380;Certificado eCNPJ A1;62528132140;44028223000132;Pedro Barreto de Ortiz
348038;18/06/24;Manuela Delatorre das Neves;mailreceiverjafs@gmail.com;(82) 93636-6392;Certificado eCNPJ A1;87592262932;93817436000159;Manuela Delatorre das Neves
730891;27/05/24;Sergio Fernandes;mailreceiverjafs@gmail.com;(82) 92642-4757;Certificado eCNPJ A1;47613588408;23285114000120;Sergio Fernandes
184895;01/05/24;Alessandra Matilde Assuncao de Godoi;mailreceiverjafs@gmail.com;(82) 92237-0537;Certificado eCNPJ A1;81185585257;38732423000179;Alessandra Matilde Assuncao de Godoi
597337;07/05/24;Malena Balestero de Batista;mailreceiverjafs@gmail.com;(82) 92186-7663;Certificado eCNPJ A1;74144598888;27729555000125;Malena Balestero de Batista
227831;06/06/24;Gabriela Michele de Pena;mailreceiverjafs@gmail.com;(82) 92045-1217;Certificado eCNPJ A1;19142419247;32377343000166;Gabriela Michele de Pena
226799;31/05/24;Hernani Wagner de Bonilha;mailreceiverjafs@gmail.com;(82) 93891-2239;Certificado eCNPJ A1;83211771824;24056273000116;Hernani Wagner de Bonilha
921444;08/04/24;Adilson Camacho Negrao;mailreceiverjafs@gmail.com;(82) 93785-3828;Certificado eCNPJ A1;49337413361;24284735000152;Adilson Camacho Negrao
612123;19/04/24;Flavia Veronica Goncalves Santiago de Fonseca;mailreceiverjafs@gmail.com;(82) 92464-9552;Certificado eCNPJ A1;28928448786;25690101000162;Flavia Veronica Goncalves Santiago de Fonseca
565510;19/05/24;Adrielle Tatiana de Bonilha;mailreceiverjafs@gmail.com;(82) 92242-8148;Certificado eCNPJ A1;31002635616;33657187000150;Adrielle Tatiana de Bonilha
416591;12/04/24;Joaquim Leopoldo de Padilha;mailreceiverjafs@gmail.com;(82) 93556-7776;Certificado eCNPJ A1;48851514496;29150712000179;Joaquim Leopoldo de Padilha
213766;09/04/24;Demian Lucas Maia de Montenegro;mailreceiverjafs@gmail.com;(82) 93462-7030;Certificado eCNPJ A1;8326702196;47263849000111;Demian Lucas Maia de Montenegro
254398;10/06/24;Fabiano Jason Barros Neto;mailreceiverjafs@gmail.com;(82) 93522-4795;Certificado eCNPJ A1;48199214872;65825323000160;Fabiano Jason Barros Neto
340134;24/06/24;Benjamin Manuel Azevedo Filho;mailreceiverjafs@gmail.com;(82) 92556-7589;Certificado eCNPJ A1;11437162649;85381088000191;Benjamin Manuel Azevedo Filho
574449;01/06/24;Diego Brito de Duarte;mailreceiverjafs@gmail.com;(82) 93631-9717;Certificado eCNPJ A1;62696661472;28534983000165;Diego Brito de Duarte
758325;13/04/24;Augusto Mario Colaco do Rio;mailreceiverjafs@gmail.com;(82) 92834-2369;Certificado eCNPJ A1;75819378792;77721776000125;Augusto Mario Colaco do Rio
470470;28/06/24;Fabio Paulo de Aranda;mailreceiverjafs@gmail.com;(82) 93573-6193;Certificado eCNPJ A1;75943253114;4507227000189;Fabio Paulo de Aranda
764576;12/05/24;Cleberson Delvalle Jimenes;mailreceiverjafs@gmail.com;(82) 92227-8326;Certificado eCNPJ A1;25161237600;31046075000137;Cleberson Delvalle Jimenes
647070;18/05/24;Cristovao Eliel Oliveira Padilha;mailreceiverjafs@gmail.com;(82) 92356-4145;Certificado eCNPJ A1;60972365494;31158868000148;Cristovao Eliel Oliveira Padilha
103771;28/05/24;Isabel Nicole Branco Couto;mailreceiverjafs@gmail.com;(82) 92589-6552;Certificado eCNPJ A1;14745714335;23888487000196;Isabel Nicole Branco Couto
504830;22/05/24;Christopher Natal Azevedo Teles;mailreceiverjafs@gmail.com;(82) 93932-5582;Certificado eCNPJ A1;97686533883;3951144000111;Christopher Natal Azevedo Teles
462698;18/06/24;Moacyr Grego de Perez;mailreceiverjafs@gmail.com;(82) 93264-9278;Certificado eCNPJ A1;24733338821;15688385000107;Moacyr Grego de Perez
411905;04/05/24;Gustavo Grego de Amorim;mailreceiverjafs@gmail.com;(82) 93572-6844;Certificado eCNPJ A1;71738875423;37451482000106;Gustavo Grego de Amorim
610470;29/04/24;Ashley Pontes de Nogueira;mailreceiverjafs@gmail.com;(82) 92124-2468;Certificado eCNPJ A1;2698813288;35165111000132;Ashley Pontes de Nogueira
341811;07/06/24;Jeronimo Marcelo de Franco Sobrinho;mailreceiverjafs@gmail.com;(82) 92284-3236;Certificado eCNPJ A1;61847822401;10825910000167;Jeronimo Marcelo de Franco Sobrinho
466170;15/06/24;Lana Terezinha Bezerra;mailreceiverjafs@gmail.com;(82) 92562-5324;Certificado eCNPJ A1;96533015869;24552606000106;Lana Terezinha Bezerra
139837;12/05/24;Isaac Padilha;mailreceiverjafs@gmail.com;(82) 93809-2409;Certificado eCNPJ A1;12744138851;92841465000193;Isaac Padilha
466546;21/04/24;Ivan Aragao de Ramos;mailreceiverjafs@gmail.com;(82) 92771-5418;Certificado eCNPJ A1;29231771345;56264561000152;Ivan Aragao de Ramos
201288;23/06/24;Alana Nayara Ferreira de Miranda;mailreceiverjafs@gmail.com;(82) 93140-7428;Certificado eCNPJ A1;53345747197;40180678000118;Alana Nayara Ferreira de Miranda
102631;09/04/24;Paulo Itamar Caldeira Saraiva de Alvarenga;mailreceiverjafs@gmail.com;(82) 92837-1283;Certificado eCNPJ A1;52723207277;72554267000131;Paulo Itamar Caldeira Saraiva de Alvarenga
490971;12/06/24;Silvana Leal de Serrano;mailreceiverjafs@gmail.com;(82) 93989-8771;Certificado eCNPJ A1;37882650781;34538312000175;Silvana Leal de Serrano
877906;15/06/24;Nelson Tomaz Mendes Pereira Castelo;mailreceiverjafs@gmail.com;(82) 93263-5312;Certificado eCNPJ A1;76655956773;42512332000103;Nelson Tomaz Mendes Pereira Castelo
962755;02/04/24;Francisco Moacyr Gomes Quintana;mailreceiverjafs@gmail.com;(82) 93561-6152;Certificado eCPF A1;71887520449;;
683724;03/04/24;Isaias Roberto de Aragao Jr.;mailreceiverjafs@gmail.com;(82) 93465-0744;Certificado eCPF A1;86187357876;;
580498;05/04/24;Bruna Eliane Benites Cordeiro;mailreceiverjafs@gmail.com;(82) 92577-3587;Certificado eCPF A1;54137723354;;
500912;10/04/24;Jessica Suely de Avila;mailreceiverjafs@gmail.com;(82) 92443-8363;Certificado eCPF A1;51733847359;;
494574;15/04/24;Ediane Rico;mailreceiverjafs@gmail.com;(82) 93752-5863;Certificado eCPF A1;71485464862;;
772465;21/04/24;Aurelio Medina de Montenegro;mailreceiverjafs@gmail.com;(82) 93745-1359;Certificado eCPF A1;73318491667;;
783536;24/04/24;Genir Hellen Feliciano de Fidalgo;mailreceiverjafs@gmail.com;(82) 93547-3634;Certificado eCPF A1;8374635304;;
484615;25/04/24;Joaquin Leo de Gusmao Jr.;mailreceiverjafs@gmail.com;(82) 93225-6781;Certificado eCPF A1;85340777383;;
791803;29/04/24;Marcielle Taina Montenegro;mailreceiverjafs@gmail.com;(82) 93763-2304;Certificado eCPF A1;48146610617;;
562871;03/05/24;Evandro Benedito Franco Pontes de Albuquerque;mailreceiverjafs@gmail.com;(82) 92667-3527;Certificado eCPF A1;56731483800;;
442241;04/05/24;Hugo Wagner Padrao Filho;mailreceiverjafs@gmail.com;(82) 92173-3241;Certificado eCPF A1;77535432964;;
477484;06/05/24;Benjamin Salazar Valencia;mailreceiverjafs@gmail.com;(82) 92565-1138;Certificado eCPF A1;87652632609;;
504312;06/05/24;Lucas Aranda de Palhares;mailreceiverjafs@gmail.com;(82) 92135-5853;Certificado eCPF A1;3861073196;;
582740;08/05/24;Aloisio Aranda de Maia;mailreceiverjafs@gmail.com;(82) 92451-3445;Certificado eCPF A1;84745844697;;
952343;21/05/24;Aline Duarte Garcia;mailreceiverjafs@gmail.com;(82) 93251-6144;Certificado eCPF A1;88464506120;;
181371;22/05/24;Melissa Sara Lozano;mailreceiverjafs@gmail.com;(82) 93689-8255;Certificado eCPF A1;81898724270;;
916440;30/05/24;Quesia Sara Espinoza de Godoi;mailreceiverjafs@gmail.com;(82) 93171-9712;Certificado eCPF A1;12888322498;;
987693;10/06/24;Israel Rios Sobrinho;mailreceiverjafs@gmail.com;(82) 93476-7875;Certificado eCPF A1;57540658177;;
796302;12/06/24;Marco Mike Casanova de Cordeiro;mailreceiverjafs@gmail.com;(82) 92645-0697;Certificado eCPF A1;71985152584;;
459906;14/06/24;Amarildo Kevin Benites Filho;mailreceiverjafs@gmail.com;(82) 92772-9973;Certificado eCPF A1;57775518740;;
649960;17/06/24;Mario Matheus Casanova Marques Fortes;mailreceiverjafs@gmail.com;(82) 93814-4454;Certificado eCPF A1;16748307180;;
947296;21/06/24;Bianca Otavia Madeira de Brito;mailreceiverjafs@gmail.com;(82) 92571-2335;Certificado eCPF A1;33447403004;;
530181;26/06/24;Samuel Davi Benites de Fidalgo;mailreceiverjafs@gmail.com;(82) 93750-9465;Certificado eCPF A1;48486592720;;
